OID_,O_address,FREQUENCY,MEAN_Total_PublicTransitTime,MIN_Total_PublicTransitTime,MAX_Total_PublicTransitTime,STD_Total_PublicTransitTime,MEAN_Attraction_CostNormalized,MIN_Attraction_CostNormalized,MAX_Attraction_CostNormalized,STD_Attraction_CostNormalized
60,124 Roberts Pl,51,42.379506724700505,9.353362156574301,72.539615733459499,16.296875754750431,20.671337839533340,0.013785570682845,301.677838499240181,52.111391764378190
61,124 Sears St Apt 1,50,31.188223718021231,4.816865495195873,76.695827406021451,21.382140174086906,38.302153263194938,0.018803116792359,589.978590600152870,101.201729020257346
62,125 Highland Pl Apt 1,50,33.177434826246014,0.721152923465201,75.250629848910179,20.793011635562017,37.968325296169589,0.017917192471714,446.279232156353089,83.912911416875247
63,126 College Ave Unit 201,50,34.033400936577650,2.120279253725034,75.434598269292962,20.192737613498881,33.884292403830983,0.018332070886252,438.429487514817311,79.687805117728900
64,126 College Ave Unit 401,50,34.033400936577650,2.120279253725034,75.434598269292962,20.192737613498881,33.884292403830983,0.018332070886252,438.429487514817311,79.687805117728900
65,127 College Ave,51,34.807234530230012,1.765274977625620,89.829110913421431,21.465022243761776,34.667567110278448,0.011132248664509,443.220764400939004,82.356877999312772
66,128 Sapsucker Woods Rd,36,66.489874677462865,29.310297132118361,89.384614249462572,15.376407658059737,6.805968898666295,0.020637936245910,50.035897899426942,11.570935085626035
67,129 College Ave,52,35.739544123490489,1.637641533168478,89.701477468964285,22.568348503494249,34.623459250402497,0.011148088395155,444.969049366345871,83.226950060220346
68,135 Coddington Rd,47,36.784172385126482,6.282059242853771,89.150146003072038,18.683060146669977,25.850681727280076,0.029263643849775,445.534990947969618,75.658101160301840
69,139 Coddington Rd # 139COD,47,36.144042062788635,6.340428876609454,88.366733638458598,18.592663655553739,26.421151139479900,0.029213743615516,456.604027152605568,77.420894286249052
70,140 Seneca Way,50,29.974673302146790,2.533132420561651,80.049717102513810,21.915400216775662,37.873957358466207,0.021314234777744,628.206570365739822,101.937652049746816
71,144-313 Linn St,50,32.190140134516462,7.304491846656929,73.716846377035438,19.736132569898583,32.542475734741700,0.018686312310189,494.359332283699075,84.928083819233549
72,151 Dryden Rd,52,35.214221757732965,1.145133984775853,87.205166165669525,22.425506408265257,38.380798387171964,0.011467210533149,426.237565423106503,84.999826572212157
73,1601 E Shore Dr,17,63.226486269513074,14.882883226465466,89.372784377306431,20.853559425366324,9.465998796505929,0.011542749578870,44.868453156520538,13.801662945061592
74,1601 E Shore Dr Unit B,17,63.283355435296230,14.775463691097254,89.480203912674639,20.917996591066760,9.454552387171534,0.011528455253562,44.813909780372114,13.781379182332103
75,166 Bush Ln,15,51.808718113986600,30.880975653697313,88.781072104140478,19.216885394414991,11.440045157646336,0.017213029803361,58.415740254268719,18.128381932562327
76,1718 Ellis Hollow Rd,5,76.145380993370367,73.325757452747283,79.027858100300122,2.645899500391464,9.100593951541885,0.596387909923747,27.096773865263948,11.843099895026102
