OID_,Total_PublicTransitTime,Properties_Name,Properties_DistanceToNetworkInMeters
113,14.049067105082814,210 Delaware Ave Apt 2,37.601816627313227
114,198.715453457904374,8 Library St,41.253106091875274
115,20.625412710096235,114 Overlook Rd Apt 3,23.046413828038869
116,25.680309527630182,121 Cascadilla Ave Apt 3,12.672343642191521
117,56.198327626358129,87 Uptown Rd Apt J201,149.864800281143260
118,16.270826246281178,705 E Seneca Ithaca,31.155262610173594
119,17.679922471256962,105 Dewitt Pl Apt 2,32.394237371034656
120,19.275423054459456,216 University Ave,49.225563288982066
121,106.492646551016620,1718 Ellis Hollow Rd,223.226487981780593
122,88.299173732846896,200 W Hill Cir,60.208175654210464
123,40.985305317392175,924 Danby Rd,102.253334118503815
124,16.004490575542842,113 N Quarry St,12.589921442140499
125,10.560283416756588,151 Dryden Rd,11.762112274438332
126,17.804629390061855,508 E Buffalo St,12.970789577708670
127,11.325351950295998,111 Dryden Rd,39.098778464731751
128,13.999824328843053,210 Delaware Ave,34.709970719974777
129,57.006178550990633,87 Uptown Rd Apt F212,158.761730006237201
130,28.697129461548482,411 N Geneva St Apt 2,32.422419592348071
131,26.675602648071827,108 E State St,49.843866491916550
132,19.365402413384867,521 E State St,48.460174651265611
133,56.832081970791698,87 Uptown Rd Apt H207,157.019150937549483
134,56.062184628626106,87 Uptown Rd Apt K205,95.243588917715186
135,14.171885765868550,102 Highland Pl Apt 1,13.928716906588857
136,26.841834200161376,107 E State St,0.996802129357130
137,32.563410095534465,110 N Titus Ave,39.003360138568645
138,16.270826246281178,705 E Seneca Ithaca,31.155262610173594
139,56.122497714491523,87 Uptown Rd Apt K108,106.881107902427800
140,56.439599411107473,87 Uptown Rd Apt H202,141.932376283013269
141,26.732249876281106,112 E State St,12.683739724924397
142,121.922720321771365,1 Maplewood Rd,46.305665031578542
143,30.365344749377048,327 W Seneca St Apt 304,29.216513935180458
144,57.229353905638796,87 Uptown Rd Apt F107,141.555392222430896
145,32.716664045811029,110 Titus # 1A,26.979755525890923
146,22.872252148025616,801 Triphammer Rd Apt A,33.342313921061965
147,14.197246208517742,102 Highland Pl Apt 4,13.959047236357199
148,90.869466573964175,372 Troy Rd Unit 2,57.437193939389921
149,17.868558133449664,109 Dewitt Pl Apt 1,30.589776565703257
150,142.466412876406366,5C Deibler Dr,31.910451351723385
151,14.196850089006885,102 Highland Pl Apt 2,18.188910369321814
152,11.181773635516608,208 Dryden Rd,12.506506384810358
153,13.094257790145518,426 Eddy St,18.981660998528543
154,13.503120117947701,127 College Ave,36.884558460869684
155,75.908258149743105,200 Conifer Dr,7.021578399195165
156,30.365344749377048,327 W Seneca St Apt 204,29.216513935180458
157,22.758730491189322,140 Seneca Way,44.364257871017898
158,57.961391737581486,87 Uptown Rd Apt C215,214.377783451075828
159,14.137658947908941,105 Highland Pl,23.428515478419691
160,28.056459439213466,319 Hillview Pl # 319HIL,46.780087616420047
161,33.556453635486463,430 W State St,52.897786914680722
162,25.030481831160028,213-215 Columbia St,26.400633085433924
163,16.053532377126476,111 Blair St,28.300165928173236
164,15.984861467292122,711 E Seneca St,23.406337702144988
165,32.180519468760444,718 Hudson St,23.110726106571526
166,14.371300138095917,109 Williams St,18.898010496364943
167,23.975150848474289,1005 1007 N Aurora St,25.484477326330040
168,17.657931600376969,404 University Ave,20.946767038897853
169,22.064536014946928,308 E Seneca St,31.061482873722642
170,16.057974897708860,707 E Seneca St,41.718729551510215
171,32.130177282504178,232 S Geneva St,29.831688040015212
172,12.452978420242809,306 Bryant Ave,24.965035038850225
173,13.603310702361339,230 Bryant Ave,23.259866694005094
174,13.941746117540847,226 Bryant Ave,24.804134835948126
175,24.660424034344533,416 Hudson St # 416HUD,25.534757022172787
176,27.923734518860375,518 Linn St,40.306724160744317
177,56.819764366606975,128 Sapsucker Woods Rd,45.066110711525930
178,65.703779279596674,102 Wiedmaier Ct,28.937846827282097
179,25.427794462138809,107-109 Hudson St # 107HUD,24.737450620258333
180,24.185290702942037,1002 N Aurora St,26.012724324745097
181,17.510245221423109,110-112-113 Stewart Ave,26.785878523257704
182,80.540608617730484,921 Taughannock Blvd,61.611642863297590
183,26.448578208254407,309 S Aurora St,31.232855656375161
184,11.851988850669931,522 Stewart Ave,30.688174923102196
185,22.746399369664690,144-313 Linn St,17.967436459871898
186,95.870506710899562,1601 E Shore Dr Unit B,30.138398510006564
187,65.207392461953717,100 Graham Rd,50.061358579108983
188,35.370270225558301,139 Coddington Rd # 139COD,42.212041392480742
189,36.954756224779665,609 E State St,40.542182950568552
190,13.375486673490558,129 College Ave,19.300376418277320
191,15.179588878387625,308 Stewart Ave,14.856378285902492
192,16.859814641838415,710 Stewart Ave,31.894874973584152
193,32.149632384545178,720 Hudson St,25.502524560122961
194,18.335714901212935,601 E State St,30.597841030916406
195,26.609271625888422,410 S Aurora St,29.695702523530979
196,25.223857667130130,211 Columbia St,38.280963233114342
197,28.265848293877358,315-317 Hillview Pl # 315HIL,21.673112790987933
198,16.509449401250816,119 Stewart Ave # 119STE,23.803451389497599
199,106.788969348268168,192-198 Pinckney Rd,71.164235840838117
200,11.306158093195657,112 Summit St,0.547344676165029
201,15.101920567419649,308 Fairmount Ave # 308FAI,28.481120781160552
202,28.152716301691559,320 Hillview Pl # 320HIL,20.983897802999021
203,39.937419148237424,918 Danby Road Llc 918 Danby Rd,61.099071835745477
204,26.872386081082599,119-121 Prospect St # 119PRO,22.689867260706396
205,33.497469228197104,1028 Ellis Hollow Rd,77.248543722813764
206,25.412842913440212,108-110 Hudson St # 108HUD,27.850991824154320
207,37.075293061597066,613 E State St,40.882451695315595
208,30.367920731830718,327 W Seneca St,30.713347396971933
209,38.009329288918302,802-812 Dryden Rd,86.713714130100001
