OID_,Origins1hcrswg_Name,FREQUENCY,MEAN_ODLines39kbyk_Total_PublicTransitTime,MAX_ODLines39kbyk_Total_PublicTransitTime,MIN_ODLines39kbyk_Total_PublicTransitTime,STD_ODLines39kbyk_Total_PublicTransitTime
138,411 N Geneva St Apt 2,14,41.335813712334570,86.329045520399703,4.176234709288653,27.128909076072024
139,416 Hudson St # 416HUD,13,37.738179836974680,74.659821949030217,1.538043446690700,22.904803534969084
140,419 Triphammer Rd,13,39.538292367866831,85.647439399513203,11.715263329111963,19.165955848236447
141,425 Troy Rd,5,64.744142345477982,89.929189710290274,26.191894702796063,27.565395436433352
142,426 E Buffalo St,14,39.322390484648224,84.458670471829123,10.051120108566899,25.448563078754308
143,426 Eddy St,14,39.532162592625760,81.510511349981357,5.918723538978975,25.235035931470211
144,429-431 N Tioga St,14,38.926770366131791,81.420706452825058,9.100097463104074,26.007861089081757
145,43 Fiddlers Rdg,3,47.997566006590993,51.370247072002748,44.886406292504198,3.249821976104294
146,430 W State St,13,41.518047980015695,81.668137665073829,5.572911017216351,25.578341528516461
147,504 S Aurora St,13,37.341277273948613,76.466403587811229,4.546387435693248,22.881016006188027
148,506 S Cayuga St # 2,13,40.623517149165522,81.066462359980790,8.945498195751730,23.514822253091364
149,506 S Cayuga St Apt 1,13,40.599559120352858,81.042504331168118,8.921540166939055,23.514822253091349
150,508 E Buffalo St,14,39.017127122850368,83.299259713411431,10.629095138895316,25.122592787828843
151,517 S Aurora St,13,37.905177988991518,77.152595326622219,3.394116264626777,22.898781885179083
152,518 Linn St,14,39.359590801604774,84.558471512557531,2.811833364069996,25.447192895655050
153,519 E Buffalo St,14,38.573686140491098,81.960092178044434,9.271701875577911,25.084490477252341
154,521 E State St,14,39.358579988434158,84.911632730267144,10.136561483980781,25.343363282644727
155,522 Stewart Ave,14,38.358421338880973,80.892274584871856,10.828814484595132,24.126239922973181
156,5C Deibler Dr,4,53.025209778771952,73.198125360309632,34.589301074653839,19.395290026203391
157,600 Warren Rd Apt 4-2,11,52.701795358147358,78.270288796965403,2.072423401244530,25.751863039260325
158,601 E State St,14,39.464666930901274,84.905474312374409,8.591123845622683,25.335338880583283
159,601 Winston Ct Apt 1,11,63.027505650303624,83.035948948867556,30.219290067904478,18.288065745231528
160,605 S Aurora St,13,38.165539250818966,77.850335102021262,4.190341021327589,22.798360961149445
161,607 S Aurora St,13,38.301560828204103,78.046810713799800,4.386816633106125,22.760078068432108
162,609 E State St,13,42.709196851486190,85.066440254367023,8.971213606509549,25.454213938410646
163,613 E State St,13,42.811189559562457,85.186977091184431,9.091750443326950,25.475584567243807
164,648 Hudson Upstairs St Unit 648,13,42.495628871713734,81.549870387761445,5.352004992040544,22.219693457162215
165,700 Warren Rd # 18-2,9,58.248484990967050,83.450757115757312,17.746737013066632,25.729655951823975
166,702 Hudson Bedroom Downstairs St Unit 3,13,42.568866143233222,81.505486028781462,5.307620633060553,22.261690735375950
167,702 Hudson St Unit 1,13,42.584429874287487,81.521049759835719,5.323184364114810,22.261690735375947
168,702 Hudson St Unit 2,13,42.568866143233222,81.505486028781462,5.307620633060553,22.261690735375950
169,702 N Aurora St,14,38.632946080099714,80.598424424045561,5.001714071881656,25.414360646002397
170,704 Triphammer Rd,13,39.852720062276113,86.920388319336283,10.202729972466631,19.450431560655971
171,705 E Buffalo St,14,39.226918040858038,82.449956689432128,6.858168878429755,25.314707406953129
172,705 E Seneca Ithaca,28,39.121041535590962,82.765251314266322,9.095291995114639,24.659442115029229
173,707 E Seneca St,14,39.273078213142618,82.978102662838637,8.882440646542323,25.199320372662122
174,708 E Seneca-3 708 Sen St E # 1-2,14,39.238994362929795,82.930385272540676,8.930158036840275,25.183532433279840
175,710 Stewart Ave,14,38.233019634022689,86.688635211300465,9.793747600278484,24.003928715996292
176,711 E Seneca St,14,39.592014034114293,83.760069645957302,8.809327216125581,25.300093686479514
177,715 Triphammer Rd,13,40.413678439239206,87.951403202532006,9.903812678955902,19.628611687288998
178,718 Hudson St,13,43.223361266110146,82.179917383446096,5.982051987725209,22.254317295654296
179,719 Tripammer # C,13,40.085994995946486,87.613375687481593,9.362462226846240,19.652487410521644
180,719 Triphammer Rd Apt A,13,40.085994995946486,87.613375687481593,9.362462226846240,19.652487410521644
181,720 Hudson St,13,43.201977900114962,82.149030299230844,5.951164903509944,22.257819291410552
182,8 Library St,8,48.339134152452658,81.505957508105880,9.717453667404435,27.357147539476966
183,801 Triphammer Rd # B,13,40.100013394318694,87.700017684040844,9.150334828308260,19.693738321331786
184,801 Triphammer Rd Apt A,13,40.113048141616360,87.733908027014749,9.116444485334341,19.703820528854983
185,802-812 Dryden Rd,13,62.523118183077415,88.234113390982202,38.354711250905623,15.752860590437395
186,807 Triphammer Rd,13,40.193416700663917,87.942866280538411,8.907486231810683,19.767055835688197
187,807 Triphammer Rd # B,13,40.186796148004369,87.925652843623610,8.924699668725495,19.761777238067172
188,809 S Aurora St,13,41.660655511704441,82.963663622738807,8.720224247098356,22.175069941083319
189,815 S Aurora St,13,42.398736635894281,84.029780802124137,9.786341426483693,22.111337407499306
190,815 S Aurora St Unit A01,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
191,815 S Aurora St Unit A02,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
192,815 S Aurora St Unit A103,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
193,815 S Aurora St Unit A201,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
194,815 S Aurora St Unit A202,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
195,815 S Aurora St Unit A203,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
196,815 S Aurora St Unit A204,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
197,815 S Aurora St Unit A205,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
198,815 S Aurora St Unit A206,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
199,815 S Aurora St Unit A207,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
200,815 S Aurora St Unit A301,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
201,815 S Aurora St Unit A304,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
202,815 S Aurora St Unit A307,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
203,815 S Aurora St Unit B104,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
204,815 S Aurora St Unit B301,13,42.497126212530695,84.171899079487829,9.928459703847388,22.105018778956058
205,87 Uptown Rd Apt C215,11,54.883207197717631,83.011611246924289,12.001767717732134,23.821792889646169
206,87 Uptown Rd Apt F107,11,53.764726781133021,82.279573414981584,11.269729885789443,24.062299002852189
207,87 Uptown Rd Apt F112,11,53.544574195412480,82.010498032434256,11.000654503242130,24.028205161148069
208,87 Uptown Rd Apt F212,11,53.582128763693611,82.056398060333393,11.046554531141277,24.033946961226292
209,87 Uptown Rd Apt H202,11,53.118564012880100,81.489818920450247,10.479975391258122,23.965213451700727
210,87 Uptown Rd Apt H207,11,53.439686107167205,81.882301480134473,10.872457950942350,24.012330313512212
211,87 Uptown Rd Apt I202,11,53.214523022378032,81.607102154281037,10.597258625088923,23.979058073435741
212,87 Uptown Rd Apt J201,11,52.921159825357925,81.248547135700917,10.238703606508789,23.937364600067315
213,87 Uptown Rd Apt K107,11,52.779562674339395,81.075483951122706,10.065640421930567,23.917913869063167
214,87 Uptown Rd Apt K108,11,52.859117170194345,81.172717223834312,10.162873694642174,23.928787928737318
215,87 Uptown Rd Apt K205,11,52.809770099940813,81.112404137968909,10.102560608776761,23.922026486933454
216,902 Dryden Rd,13,65.455278719444038,89.634765016240053,43.201474033849209,14.405494836227515
217,918 Danby Rd,13,46.376721945484647,89.820170342707399,15.177034126492204,22.316889103673702
218,918 Danby Road Llc 918 Danby Rd,13,46.457477367172423,89.936817062923069,15.293680846707881,22.328729990113089
219,921 Taughannock Blvd,8,69.400313369934040,80.329983970626671,52.531921807998472,10.178355905646008
220,924 Danby Rd,12,43.532789838629704,89.408402979288454,16.341567015862640,18.996739867566635
