address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built
238 Dryden Rd Unit G01,1,1,42.441662,-76.483253,0,9659993471,2415.00,FALSE,,712,for_rent,1,condos,1,
118 Ferris Pl,2,6,42.438019,-76.489395,0,9580770626,4200.00,FALSE,,0,for_rent,1,apartment,1,
202 Linden-4 Bedroom Btb Ave Unit 203,0,0,42.439472,-76.484375,0,9973307477,1285.00,FALSE,,300,for_rent,1,condos,1,
124 Sears St Apt 1,2,5,42.443836,-76.498238,0,9637407987,2950.00,FALSE,,1500,for_rent,1,apartment,1,
506 S Cayuga St Apt 1,1,4,42.433925,-76.498937,0,4339993326,2720.00,FALSE,,0,for_rent,1,apartment,1,
118 Ferris Pl Apt 1,2,6,42.438084,-76.489365,0,9610840462,4200.00,FALSE,,0,for_rent,1,apartment,1,
238 Dryden Rd Unit 402,1,2,42.441662,-76.483253,0,9443572855,3500.00,FALSE,,781,for_rent,1,condos,1,
815 S Aurora St Unit A206,1,2,42.430042,-76.49662,0,9918526406,2300.00,FALSE,,736,for_rent,1,condos,1,
238 Dryden Rd Unit 102,1,2,42.441662,-76.483253,0,9241504919,3500.00,FALSE,,781,for_rent,1,condos,1,
238 Dryden Rd Unit 302,1,2,42.441662,-76.483253,0,9110029277,3530.00,FALSE,,781,for_rent,1,condos,1,
815 S Aurora St Unit B301,1,2,42.430042,-76.49662,0,9735512368,2100.00,FALSE,,736,for_rent,1,condos,1,
815 S Aurora St Unit A203,1,2,42.430042,-76.49662,0,9247939406,2000.00,FALSE,,607,for_rent,1,condos,1,
702 Hudson Bedroom Downstairs St Unit 3,2,3,42.430138,-76.492523,0,9242504609,2475.00,FALSE,,0,for_rent,1,condos,1,
815 S Aurora St Unit A204,1,2,42.430042,-76.49662,0,9949146891,2100.00,FALSE,,607,for_rent,1,condos,1,
815 S Aurora St Unit A205,1,2,42.430042,-76.49662,0,9702777886,2300.00,FALSE,,736,for_rent,1,condos,1,
702 Hudson St Unit 2,2,3,42.430138,-76.492523,0,9586565159,795.00,FALSE,,0,for_rent,1,condos,1,
815 S Aurora St Unit B104,1,2,42.430042,-76.49662,0,9333900278,2300.00,FALSE,,736,for_rent,1,condos,1,
815 S Aurora St Unit A304,1,2,42.430042,-76.49662,0,9129857535,2100.00,FALSE,,607,for_rent,1,condos,1,
205 Williams St,2,7,42.442171,-76.488493,0,3844018790,995.00,FALSE,,0,for_rent,1,apartment,1,
815 S Aurora St Unit A202,1,2,42.430042,-76.49662,0,9122493562,2300.00,FALSE,,736,for_rent,1,condos,1,
126 College Ave Unit 201,2,6,42.438778,-76.485321,0,9320578554,1417.00,FALSE,,1658,for_rent,1,condos,1,
111 Harvard Pl,3,7,42.440337,-76.48173,0,3886613762,7600.00,FALSE,,0,for_rent,1,single_family,1,
815 S Aurora St Unit A201,1,3,42.430042,-76.49662,0,9634871026,2730.00,FALSE,,970,for_rent,1,condos,1,
202 Linden Ave Unit 1,1,4,42.439472,-76.484375,0,9697687795,1285.00,FALSE,,300,for_rent,1,condos,1,
605 S Aurora St,1.5,3.5,42.434511,-76.494298,0,4092992552,3125.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,7,
301 E State St,1.5,1,42.439304,-76.494944,0,4741580935,2368.50,TRUE,City Centre Ithaca,913.5,for_rent,1,apartment,193,
238 Dryden Rd Unit 202,1,2,42.441662,-76.483253,0,9969923513,3530.00,FALSE,,781,for_rent,1,condos,1,
116 Ferris Pl Apt 1,2,5,42.438091,-76.489388,0,9535483848,3500.00,FALSE,,0,for_rent,1,apartment,1,
815 S Aurora St Unit A103,1,2,42.430042,-76.49662,0,9571468903,2150.00,FALSE,,607,for_rent,1,condos,1,
113 Oak Ave,4,0,42.442321,-76.484259,0,3847968980,1000.00,FALSE,,0,for_rent,1,single_family,1,
815 S Aurora St Unit A02,1,2,42.430042,-76.49662,0,9954395229,2300.00,FALSE,,736,for_rent,1,condos,1,
118 Ferris Pl Apt 3,1,3,42.438026,-76.489357,0,9898732364,2100.00,FALSE,,750,for_rent,1,apartment,1,
702 Hudson St Unit 1,2,3,42.430141,-76.492485,0,9558560038,795.00,FALSE,,0,for_rent,1,condos,1,
238 Dryden Rd Unit 401,2,2,42.441662,-76.483253,0,9385369296,3710.00,FALSE,,990,for_rent,1,condos,1,
121 Cascadilla Ave Apt 1,1,1,42.443947,-76.497833,0,9839553811,1225.00,FALSE,,400,for_rent,1,apartment,1,1910.0
87 Uptown Rd Apt K107,1,1,42.479103,-76.473717,0,9028551025,1550.00,FALSE,,775,for_rent,1,apartment,1,
719 Tripammer # C,1,1,42.463093,-76.483231,0,9587220858,725.00,FALSE,,200,for_rent,1,apartment,1,
105 Auburn Rd,1,1,42.536514,-76.496229,0,4078808749,975.00,FALSE,,600,for_rent,1,apartment,1,
807 Triphammer Rd,1,2,42.463422,-76.48337,0,4694863416,1540.00,FALSE,,1200,for_rent,1,apartment,1,
125 Highland Pl Apt 1,1,2,42.442562,-76.488052,0,9984480983,1195.00,FALSE,,0,for_rent,1,apartment,1,
801 Triphammer Rd # B,1,1,42.463249,-76.483292,0,9170488512,1000.00,FALSE,,550,for_rent,1,apartment,1,
719 Triphammer Rd Apt A,1,2,42.463093,-76.483231,0,9324971245,1540.00,FALSE,,1000,for_rent,1,apartment,1,
105 Worth St,1,2,42.438734,-76.47857,0,3872825364,2390.00,FALSE,,0,for_rent,1,apartment,1,
87 Uptown Rd Apt I202,1,2,42.479515,-76.473297,0,9485529940,1700.00,FALSE,,1075,for_rent,1,apartment,1,
506 S Cayuga St # 2,1,2,42.433907,-76.498924,0,9983981707,1180.00,FALSE,,800,for_rent,1,apartment,1,
207 Kevin Pl,1,2,,,0,9409487135,1550.00,FALSE,,0,for_rent,1,apartment,1,
3 Hudson Pl Unit B,1,2,42.430649,-76.493156,0,9973483898,1600.00,FALSE,,900,for_rent,1,apartment,1,
327 W Seneca St Apt 102,1,2,42.440075,-76.503532,0,9665664861,1900.00,FALSE,,700,for_rent,1,apartment,1,
327 W Seneca St Apt 303,1,2,42.440075,-76.503532,0,9162987432,1900.00,FALSE,,700,for_rent,1,apartment,1,
807 Triphammer Rd # B,1,2,42.463409,-76.483368,0,9561869455,1540.00,FALSE,,800,for_rent,1,apartment,1,
715 Triphammer Rd,1,2,42.46294,-76.483197,0,4694639821,1540.00,FALSE,,0,for_rent,1,apartment,1,
