,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
71,Ithaca,111 Harvard Pl,3.0,7.0,42.440337,-76.48173,0.0,3886613762,7600.0,1.0,78.0,3.0,,0.0,for_rent,1.0,single_family,1.0,,6
72,Ithaca,815 S Aurora St Unit A201,1.0,3.0,42.430042,-76.49662,0.0,9634871026,2730.0,,83.0,,,970.0,for_rent,1.0,condos,1.0,,1
73,Ithaca,202 Linden Ave Unit 1,1.0,4.0,42.439472,-76.484375,0.0,9697687795,1285.0,1.0,78.0,3.0,,300.0,for_rent,1.0,condos,1.0,,0
74,Ithaca,605 S Aurora St,1.5,3.5,42.434511,-76.494298,0.0,4092992552,,1.0,81.0,2.0,"MLR Property Management, LLC",0.0,for_rent,1.0,other,7.0,,0
75,Ithaca,301 E State St,1.5,1.0,42.439304,-76.494944,0.0,4741580935,,,70.0,,City Centre Ithaca,913.5,for_rent,1.0,apartment,193.0,,5
76,Ithaca,238 Dryden Rd Unit 202,1.0,2.0,42.441662,-76.483253,0.0,9969923513,3530.0,1.0,75.0,3.0,,781.0,for_rent,1.0,condos,1.0,,0
77,Ithaca,116 Ferris Pl Apt 1,2.0,5.0,42.438091,-76.489388,0.0,9535483848,3500.0,1.0,75.0,1.0,,0.0,for_rent,1.0,apartment,1.0,,5
78,Ithaca,815 S Aurora St Unit A103,1.0,2.0,42.430042,-76.49662,0.0,9571468903,2150.0,,83.0,,,607.0,for_rent,1.0,condos,1.0,,1
79,Ithaca,113 Oak Ave,4.0,0.0,42.442321,-76.484259,0.0,3847968980,1000.0,1.0,75.0,3.0,,0.0,for_rent,1.0,single_family,1.0,,5
80,Ithaca,815 S Aurora St Unit A02,1.0,2.0,42.430042,-76.49662,0.0,9954395229,2300.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
81,Ithaca,118 Ferris Pl Apt 3,1.0,3.0,42.438026,-76.489357,0.0,9898732364,2100.0,1.0,75.0,1.0,,750.0,for_rent,1.0,apartment,1.0,,5
82,Ithaca,702 Hudson St Unit 1,2.0,3.0,42.430141,-76.492485,0.0,9558560038,795.0,1.0,82.0,1.0,,0.0,for_rent,1.0,condos,1.0,,0
83,Ithaca,238 Dryden Rd Unit 401,2.0,2.0,42.441662,-76.483253,0.0,9385369296,3710.0,1.0,75.0,3.0,,990.0,for_rent,1.0,condos,1.0,,0
84,Ithaca,121 Cascadilla Ave Apt 1,1.0,1.0,42.443947,-76.497833,0.0,9839553811,1225.0,8.0,80.0,2.0,,400.0,for_rent,1.0,apartment,1.0,1910.0,1
85,Ithaca,87 Uptown Rd Apt K107,1.0,1.0,42.479103,-76.473717,0.0,9028551025,1550.0,1.0,75.0,2.0,,775.0,for_rent,1.0,apartment,1.0,,1
86,Ithaca,719 Tripammer # C,1.0,1.0,42.463093,-76.483231,0.0,9587220858,725.0,1.0,92.0,1.0,,200.0,for_rent,1.0,apartment,1.0,,4
87,Lansing,105 Auburn Rd,1.0,1.0,42.536514,-76.496229,0.0,4078808749,975.0,1.0,82.0,2.0,,600.0,for_rent,1.0,apartment,1.0,,4
88,Ithaca,807 Triphammer Rd,1.0,2.0,42.463422,-76.48337,0.0,4694863416,1540.0,1.0,93.0,2.0,,1200.0,for_rent,1.0,apartment,1.0,,5
89,Ithaca,125 Highland Pl Apt 1,1.0,2.0,42.442562,-76.488052,0.0,9984480983,1195.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
90,Ithaca,801 Triphammer Rd # B,1.0,1.0,42.463249,-76.483292,0.0,9170488512,1000.0,1.0,93.0,2.0,,550.0,for_rent,1.0,apartment,1.0,,5
91,Ithaca,719 Triphammer Rd Apt A,1.0,2.0,42.463093,-76.483231,0.0,9324971245,1540.0,1.0,92.0,1.0,,1000.0,for_rent,1.0,apartment,1.0,,5
92,Ithaca,105 Worth St,1.0,2.0,42.438734,-76.47857,0.0,3872825364,2390.0,1.0,79.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
93,Ithaca,87 Uptown Rd Apt I202,1.0,2.0,42.479515,-76.473297,0.0,9485529940,1700.0,1.0,74.0,2.0,,1075.0,for_rent,1.0,apartment,1.0,,1
94,Ithaca,506 S Cayuga St # 2,1.0,2.0,42.433907,-76.498924,0.0,9983981707,1180.0,1.0,80.0,2.0,,800.0,for_rent,1.0,apartment,1.0,,2
95,Ithaca,207 Kevin Pl,1.0,2.0,,,0.0,9409487135,1550.0,,,,,0.0,for_rent,1.0,apartment,1.0,,0
96,Ithaca,3 Hudson Pl Unit B,1.0,2.0,42.430649,-76.493156,0.0,9973483898,1600.0,1.0,84.0,1.0,,900.0,for_rent,1.0,apartment,1.0,,3
97,Ithaca,327 W Seneca St Apt 102,1.0,2.0,42.440075,-76.503532,0.0,9665664861,1900.0,3.0,70.0,2.0,,700.0,for_rent,1.0,apartment,1.0,,0
98,Ithaca,327 W Seneca St Apt 303,1.0,2.0,42.440075,-76.503532,0.0,9162987432,1900.0,3.0,70.0,2.0,,700.0,for_rent,1.0,apartment,1.0,,0
