,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built,transit_time_cornell,transit_time_schools,mean_transit_time_food,mean_attraction_food,mean_transit_time_groceries,mean_attraction_groceries,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,amenity_count,driving_time
12,607 S Aurora St,2.5,3.5,42.434366,-76.494036,0,4092955286,2565.0,True,"MLR Property Management, LLC",1200.0,for_rent,1,other,15,,28.047412799114127,38.301560828204096,26.326085799446464,72.1725933271505,31.66126367931689,37.71669906442708,1.0,82.0,1.0,4,455
13,1601 E Shore Dr,3.0,4.0,42.50913,-76.508012,0,9613463690,3800.0,False,,2000.0,for_rent,1,single_family,1,,95.76308717553135,73.21282231788653,64.66352880793556,17.809751178497876,63.226486269513074,9.465998796505929,1.0,81.0,2.0,4,603
14,815 S Aurora St,1.0,1.5,42.430073,-76.49638,0,4904234484,1815.0,True,Live More Ithaca,858.0,for_rent,1,other,97,2023.0,34.03038288743847,42.39873663589428,29.609021901250014,58.90366304938392,33.38804801507338,31.699800776887184,,83.0,,4,536
15,220 Giles St,1.0,3.0,42.435254,-76.489183,0,4082595354,2500.0,False,,1600.0,for_rent,1,single_family,1,,23.19945886709884,39.18133123707288,27.391234245923165,62.10208074016949,33.709781748585016,31.226869556731906,1.0,80.0,2.0,0,407
16,320 Blackstone Ave,3.0,4.0,42.470508,-76.470348,0,3547694536,3200.0,False,,2100.0,for_rent,1,single_family,1,,46.697986755632286,49.72591889015168,60.8068220034424,21.164281614238707,60.6430185402258,13.137454256883164,1.0,90.0,2.0,4,455
17,648 Hudson Upstairs St Unit 648,1.0,3.0,42.43063,-76.492816,0,4072356572,2500.0,False,,0.0,for_rent,1,condos,1,,31.55047247307577,42.49562887171373,30.03115413430694,50.21592583104386,34.4716492911774,29.301106314388424,1.0,84.0,1.0,0,532
18,815 S Aurora St Unit A301,1.0,3.0,42.430042,-76.49662,0,9017823863,2050.0,False,,970.0,for_rent,1,condos,1,,34.17250116480216,42.497126212530695,29.74159492117884,59.312803875796135,33.48279353331585,31.618034445847943,,83.0,,1,530
19,815 S Aurora St Unit A307,1.0,3.0,42.430042,-76.49662,0,9476339580,900.0,False,,980.0,for_rent,1,condos,1,,34.17250116480216,42.497126212530695,29.74159492117884,59.312803875796135,33.48279353331585,31.618034445847943,,83.0,,1,530
20,815 S Aurora St Unit A01,1.0,3.0,42.430042,-76.49662,0,9390534105,2730.0,False,,970.0,for_rent,1,condos,1,,34.17250116480216,42.497126212530695,29.74159492117884,59.312803875796135,33.48279353331585,31.618034445847943,,83.0,,1,530
21,114 Birdseye View Dr,2.0,3.0,42.410846,-76.504331,0,3796286251,2075.0,False,,1620.0,for_rent,1,single_family,1,,62.32353407915503,53.39391009358974,50.281727539316,28.154039168644665,45.91137093159436,19.19032657307641,1.0,78.0,2.0,1,713
